ts,Open,High,Low,Close,Volume,ATR,ADX,RSI,EMA50,EMA200
2025-02-21 07:30:00+00:00,1.04972,1.0498,1.04937,1.04976,1014,0.00044474678318473726,21.216711294005453,53.37910569954786,1.0491709881420872,1.0467166264317684
2025-02-21 07:45:00+00:00,1.04977,1.04997,1.04919,1.04922,917,0.0004686934415286848,21.183816896768985,45.312640869447826,1.0491729101757308,1.0467415356215022
2025-02-21 08:00:00+00:00,1.04921,1.04941,1.04896,1.04935,1077,0.0004673581957052117,21.625805390578602,47.374424490806035,1.0491798548747218,1.0467674904909399
2025-02-21 08:15:00+00:00,1.04824,1.04824,1.04681,1.04716,1946,0.0006154040388691241,24.4051645589461,28.132463138325843,1.0491006448796347,1.0467713960581941
2025-02-21 08:30:00+00:00,1.04715,1.04873,1.04715,1.04826,1394,0.0006843037503784663,25.830338050493285,41.07790367805405,1.0490676784137667,1.0467862080377146
2025-02-21 08:45:00+00:00,1.0483,1.04837,1.04759,1.04766,1082,0.0006911391967800047,27.153713435501384,37.14733830821715,1.049012475338717,1.0467949024851004
2025-02-21 09:00:00+00:00,1.04783,1.04812,1.04735,1.04736,1234,0.0006967721112957142,28.597775028480495,35.32717502672779,1.0489476723842577,1.0468005253459451
2025-02-21 09:15:00+00:00,1.04735,1.04741,1.04695,1.04729,971,0.0006798598176317278,30.271688132795543,34.897501641981,1.0488826656240906,1.0468053957405128
2025-02-21 09:30:00+00:00,1.04726,1.04782,1.04726,1.04737,954,0.0006712984020865968,30.858774750225745,35.857677657295525,1.048823345403538,1.0468110136933435
2025-02-21 09:45:00+00:00,1.04732,1.04732,1.04668,1.04693,1078,0.0006726342305089726,31.92887141344815,32.97689598519422,1.0487490965641837,1.0468121976366933
2025-02-21 10:00:00+00:00,1.04695,1.04715,1.04657,1.04672,997,0.0006660174997583334,33.014690005285935,31.669171688780985,1.048669524149902,1.0468112802472735
2025-02-21 10:15:00+00:00,1.04673,1.04722,1.04671,1.04712,805,0.000654873392632739,33.85413476253986,36.809420445562985,1.0486087584969648,1.046814352085609
2025-02-21 10:30:00+00:00,1.04707,1.04717,1.04675,1.04687,775,0.0006380967217303908,34.63361917998993,35.03547538001454,1.0485405718892407,1.0468149057962
2025-02-21 10:45:00+00:00,1.04686,1.04693,1.04648,1.04652,753,0.00062466124160678,35.62191478352329,32.66224480075124,1.0484613337759372,1.046811971410168
2025-02-21 11:00:00+00:00,1.04651,1.04677,1.04633,1.04673,892,0.0006114711529205812,36.68155726039834,35.48596748996455,1.0483934383337437,1.0468111557742459
2025-02-21 11:15:00+00:00,1.04672,1.04698,1.04646,1.04694,536,0.000604937499140545,37.07500787283683,38.27349879447867,1.0483364407520281,1.046812437806343
